FactGLTranID,GLTranAmount,JournalID,GLTranDescription,GLTranDate,GLAcctNum,GLAcctName,Statement,Category,Subcategory,StoreNum,StoreName,ManagerID,PreviousManagerID,ContactTel,AddressLine1,AddressLine2,ZipCode,RegionNum,RegionName,SalesRegionName,LastRefreshDate
11,23819.440,994,Term Loan - Interest Payment,2019-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
12,23680.560,1310,Term Loan - Interest Payment,2019-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
13,23541.670,749,Term Loan - Interest Payment,2019-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
14,23402.780,881,Term Loan - Interest Payment,2019-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
15,23194.440,184,Term Loan - Interest Payment,2020-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
16,23125.000,946,Term Loan - Interest Payment,2020-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
17,22986.110,178,Term Loan - Interest Payment,2020-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
18,22847.220,331,Term Loan - Interest Payment,2020-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
19,22708.330,259,Term Loan - Interest Payment,2020-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
20,22569.440,1586,Term Loan - Interest Payment,2020-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
21,22430.560,1499,Term Loan - Interest Payment,2020-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
22,22291.670,902,Term Loan - Interest Payment,2020-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
23,22152.780,1647,Term Loan - Interest Payment,2020-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
24,22013.890,164,Term Loan - Interest Payment,2020-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
25,21875.000,170,Term Loan - Interest Payment,2020-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
26,21736.110,760,Term Loan - Interest Payment,2020-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
27,21527.780,1815,Term Loan - Interest Payment,2021-01-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
28,21458.330,1506,Term Loan - Interest Payment,2021-02-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
29,21319.440,971,Term Loan - Interest Payment,2021-03-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
30,21180.560,46,Term Loan - Interest Payment,2021-04-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
31,21041.670,623,Term Loan - Interest Payment,2021-05-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
32,20902.780,806,Term Loan - Interest Payment,2021-06-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
33,20763.890,787,Term Loan - Interest Payment,2021-07-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
34,20625.000,838,Term Loan - Interest Payment,2021-08-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
35,20486.110,64,Term Loan - Interest Payment,2021-09-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
36,20347.220,1858,Term Loan - Interest Payment,2021-10-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
37,20208.330,1173,Term Loan - Interest Payment,2021-11-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
38,20069.440,19,Term Loan - Interest Payment,2021-12-01,7500,Interest expense - Term Loan,Income Statement,Interest Expenses,Interest Expenses,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
39,2777.780,1828,Term Loan - Principal Payment,2019-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
40,2777.780,1540,Term Loan - Principal Payment,2019-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
41,2777.780,1682,Term Loan - Principal Payment,2019-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
42,2777.780,878,Term Loan - Principal Payment,2019-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
43,2777.780,894,Term Loan - Principal Payment,2019-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
44,2777.780,1003,Term Loan - Principal Payment,2019-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
45,2777.780,1823,Term Loan - Principal Payment,2019-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
46,2777.780,1263,Term Loan - Principal Payment,2019-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
47,2777.780,994,Term Loan - Principal Payment,2019-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
48,2777.780,1310,Term Loan - Principal Payment,2019-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
49,2777.780,749,Term Loan - Principal Payment,2019-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
50,2777.780,881,Term Loan - Principal Payment,2019-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
51,2777.780,184,Term Loan - Principal Payment,2020-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
52,2777.780,946,Term Loan - Principal Payment,2020-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
53,2777.780,178,Term Loan - Principal Payment,2020-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
54,2777.780,331,Term Loan - Principal Payment,2020-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
55,2777.780,259,Term Loan - Principal Payment,2020-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
56,2777.780,1586,Term Loan - Principal Payment,2020-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
57,2777.780,1499,Term Loan - Principal Payment,2020-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
58,2777.780,902,Term Loan - Principal Payment,2020-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
59,2777.780,1647,Term Loan - Principal Payment,2020-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
60,2777.780,164,Term Loan - Principal Payment,2020-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
61,2777.780,170,Term Loan - Principal Payment,2020-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
62,2777.780,760,Term Loan - Principal Payment,2020-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
63,2777.780,1815,Term Loan - Principal Payment,2021-01-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
64,2777.780,1506,Term Loan - Principal Payment,2021-02-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
65,2777.780,971,Term Loan - Principal Payment,2021-03-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
66,2777.780,46,Term Loan - Principal Payment,2021-04-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
67,2777.780,623,Term Loan - Principal Payment,2021-05-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
68,2777.780,806,Term Loan - Principal Payment,2021-06-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
69,2777.780,787,Term Loan - Principal Payment,2021-07-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
70,2777.780,838,Term Loan - Principal Payment,2021-08-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
71,2777.780,64,Term Loan - Principal Payment,2021-09-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
72,2777.780,1858,Term Loan - Principal Payment,2021-10-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
73,2777.780,1173,Term Loan - Principal Payment,2021-11-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
74,2777.780,19,Term Loan - Principal Payment,2021-12-01,3600,Term Loan Payable,Balance Sheet,Non Current Liabilities,Long-term debt,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
75,-27638.890,1828,Term Loan - Interest & Principal Payment,2019-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
76,-27569.450,1540,Term Loan - Interest & Principal Payment,2019-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
77,-27430.560,1682,Term Loan - Interest & Principal Payment,2019-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
78,-27291.670,878,Term Loan - Interest & Principal Payment,2019-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
79,-27152.780,894,Term Loan - Interest & Principal Payment,2019-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
80,-27013.890,1003,Term Loan - Interest & Principal Payment,2019-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
81,-26875.000,1823,Term Loan - Interest & Principal Payment,2019-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
82,-26736.110,1263,Term Loan - Interest & Principal Payment,2019-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
83,-26597.220,994,Term Loan - Interest & Principal Payment,2019-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
84,-26458.340,1310,Term Loan - Interest & Principal Payment,2019-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
85,-26319.450,749,Term Loan - Interest & Principal Payment,2019-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
86,-26180.560,881,Term Loan - Interest & Principal Payment,2019-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
87,-25972.220,184,Term Loan - Interest & Principal Payment,2020-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
88,-25902.780,946,Term Loan - Interest & Principal Payment,2020-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
89,-25763.890,178,Term Loan - Interest & Principal Payment,2020-03-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
90,-25625.000,331,Term Loan - Interest & Principal Payment,2020-04-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
91,-25486.110,259,Term Loan - Interest & Principal Payment,2020-05-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
92,-25347.220,1586,Term Loan - Interest & Principal Payment,2020-06-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
93,-25208.340,1499,Term Loan - Interest & Principal Payment,2020-07-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
94,-25069.450,902,Term Loan - Interest & Principal Payment,2020-08-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
95,-24930.560,1647,Term Loan - Interest & Principal Payment,2020-09-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
96,-24791.670,164,Term Loan - Interest & Principal Payment,2020-10-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
97,-24652.780,170,Term Loan - Interest & Principal Payment,2020-11-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
98,-24513.890,760,Term Loan - Interest & Principal Payment,2020-12-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
99,-24305.560,1815,Term Loan - Interest & Principal Payment,2021-01-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
100,-24236.110,1506,Term Loan - Interest & Principal Payment,2021-02-01,1000,Checking Account,Balance Sheet,Current Assets,Cash,Corporate Office,Corporate Office,9,NULL,16662221102,The Big Office Building,South Kansas Avenue,66603,C1,Central,Central,2025-06-09 11:57:23.9870000
